"city","total_sales"
"Coral Springs",824.99
"Canton",818.13
"York",817.98
"Temecula",808.67
"Salt Lake City",802.78
"Broomfield",793.51
"Texas City",790.97
"Mishawaka",776.24
"Mission Viejo",775.99
"Johnson City",765.85
"Thornton",765.24
"Kissimmee",751.98
"Freeport",739.15
"Port Arthur",737.05
"Salinas",728.90
"Farmington",718.72
"Saint Peters",697.16
"Mentor",693.14
"Vancouver",686.84
"Park Ridge",685.00
"Utica",655.04
"Texarkana",654.24
"San Angelo",650.64
"Vineland",647.97
"Reno",644.06
"Sunnyvale",636.21
"Bryan",616.66
"Woodbury",607.65
"Overland Park",606.91
"Waco",606.11
"Irving",605.51
"Lubbock",592.57
"Encinitas",591.98
"Oak Park",591.05
"Skokie",568.82
"Mount Pleasant",563.08
"Mansfield",558.88
"Lake Charles",547.41
"Morgan Hill",545.01
"Moorhead",543.86
"Rome",534.85
"Green Bay",527.32
"Grand Rapids",526.13
"Hoover",525.85
"Westfield",519.72
"Cary",505.22
"Arvada",503.40
"Coon Rapids",503.13
"Cambridge",502.09
"Pearland",495.00
"Lebanon",488.90
"Missoula",487.98
"Murrieta",484.65
"Beaumont",472.12
"Harlingen",471.39
"Rockville",469.77
"Boynton Beach",469.59
"Caldwell",455.63
"Manteca",452.18
"Whittier",444.77
"Helena",443.84
"Andover",435.85
"Warner Robins",434.80
"Vacaville",423.28
"Carlsbad",419.35
"Norwich",414.04
"Covington",413.68
"Murray",410.94
"Summerville",406.94
"Gaithersburg",405.92
"Saginaw",395.86
"Lincoln Park",387.60
"East Orange",377.27
"Wilson",368.73
"La Mesa",367.53
"Normal",366.74
"Macon",364.01
"Taylor",353.70
"Tyler",347.20
"Orland Park",339.96
"Murfreesboro",337.32
"Clifton",336.82
"Redding",333.58
"Meridian",329.05
"Hamilton",328.23
"Modesto",326.15
"Oswego",321.98
"Hendersonville",319.53
"Visalia",318.78
"Wausau",317.48
"Garden City",312.38
"West Jordan",311.85
"Conway",301.96
"Holyoke",301.96
"College Station",291.04
"Laguna Niguel",290.98
"Allen",290.21
"Saint Louis",285.96
"North Charleston",284.25
"Lake Elsinore",283.92
"Ontario",283.92
"Logan",280.28
"Cedar Rapids",278.40
"Palm Coast",274.43
"Manhattan",273.96
"Daytona Beach",272.33
"Haltom City",269.33
"East Point",268.40
"Woodland",264.66
"Draper",263.65
"West Allis",250.48
"Port Saint Lucie",248.95
"Hot Springs",245.83
"Delray Beach",242.53
"Kirkwood",241.34
"Thousand Oaks",238.80
"New Bedford",235.97
"Rancho Cucamonga",231.85
"Malden",228.38
"Bedford",226.24
"Sanford",225.54
"Santa Clara",222.19
"Corpus Christi",220.54
"Bolingbrook",218.31
"Leominster",217.49
"Eagan",214.28
"Pine Bluff",212.91
"Orange",211.11
"New Albany",209.55
"Marlborough",206.64
"Niagara Falls",199.84
"Woonsocket",195.55
"Saint Paul",192.83
"Bayonne",183.40
"Tuscaloosa",175.70
"Elkhart",171.43
"Gulfport",166.50
"Gladstone",164.34
"Coachella",163.55
"Glenview",158.38
"Rapid City",152.64
"Laurel",152.59
"Champaign",151.96
"Thomasville",151.29
"Urbandale",149.12
"Commerce City",146.35
"Pico Rivera",145.90
"Cottage Grove",144.36
"The Colony",142.16
"West Palm Beach",141.32
"Holland",137.86
"Lodi",136.98
"Coppell",135.93
"Homestead",132.54
"Rochester Hills",132.52
"Citrus Heights",129.39
"Englewood",124.06
"Grove City",123.59
"Cedar Hill",122.38
"Longview",119.21
"Palatine",116.31
"Lewiston",115.66
"Santa Maria",115.44
"Linden",115.36
"Conroe",111.67
"Clovis",111.42
"Sterling Heights",110.04
"San Marcos",108.44
"Bellevue",103.63
"Charlottesville",102.61
"Marysville",102.18
"Santa Fe",100.92
"Las Cruces",98.77
"Frankfort",97.63
"Melbourne",95.62
"Escondido",94.55
"Mason",94.26
"Pompano Beach",90.44
"Medford",90.22
"San Clemente",90.06
"Kenner",89.32
"Bartlett",88.96
"Edinburg",88.28
"Hillsboro",87.84
"Jefferson City",86.62
"New Castle",84.61
"Sheboygan",79.74
"Sierra Vista",76.07
"San Mateo",75.18
"Shelton",73.33
"Littleton",72.29
"Owensboro",71.18
"Garland",67.70
"Coral Gables",64.25
"Boca Raton",63.01
"Frisco",57.51
"Lindenhurst",55.48
"Waukesha",54.50
"Bridgeton",52.41
"Mesquite",52.15
"Yucaipa",50.80
"La Quinta",46.32
"Hagerstown",43.80
"Bozeman",43.66
"Redwood City",41.90
"Grapevine",41.53
"Hickory",40.76
"Rogers",40.41
"Nashua",35.94
"Royal Oak",35.34
"Goldsboro",34.94
"Davis",32.40
"Greeley",30.35
"Waterloo",30.32
"Cuyahoga Falls",29.09
"Montebello",27.88
"Danbury",27.46
"Aberdeen",25.50
"Atlantic City",23.36
"Bullhead City",22.29
"Tinley Park",22.29
"North Miami",22.13
"Loveland",20.96
"Altoona",20.45
"Antioch",19.44
"Norfolk",17.43
"Portage",16.28
"Grand Island",15.96
"Margate",15.55
"New Brunswick",14.77
"Arlington Heights",14.11
"Chapel Hill",14.02
"Rock Hill",11.85
"Baytown",10.37
"Iowa City",9.99
"Romeoville",8.95
"Billings",8.29
"Port Orange",7.82
"Deer Park",6.92
"Missouri City",6.37
"Keller",6.00
"Layton",4.96
"Springdale",4.30
"San Luis Obispo",3.62
"Ormond Beach",2.81
"Pensacola",2.21
"Jupiter",2.06
"Elyria",1.82
"Abilene",1.39
