"order_id","order_value"
"US-2016-163881",2904.57
"CA-2017-115602",2888.52
"CA-2014-136567",2884.37
"US-2016-116729",2875.54
"CA-2014-120474",2854.48
"CA-2014-133592",2846.22
"CA-2016-129630",2824.23
"CA-2015-164777",2803.92
"US-2015-100377",2799.96
"CA-2016-163804",2781.77
"CA-2017-157854",2747.25
"US-2017-141677",2737.67
"CA-2014-154627",2735.95
"CA-2015-139731",2717.31
"CA-2014-127299",2692.33
"CA-2017-123967",2690.74
"US-2016-164196",2678.94
"CA-2015-111038",2676.67
"CA-2016-163167",2673.69
"CA-2015-124450",2670.19
"CA-2016-114489",2657.81
"CA-2014-169019",2656.72
"CA-2015-146563",2645.02
"CA-2015-123113",2643.06
"CA-2017-112333",2633.51
"CA-2015-160227",2621.32
"CA-2016-108987",2620.94
"CA-2017-134845",2613.31
"US-2017-161935",2610.74
"CA-2017-107174",2595.39
"CA-2014-141313",2583.19
"CA-2015-155306",2572.50
"CA-2015-120677",2567.84
"CA-2017-156776",2563.31
"CA-2016-169670",2563.06
"CA-2015-164882",2562.17
"US-2016-114013",2550.59
"CA-2016-168354",2545.12
"CA-2015-162782",2541.98
"CA-2015-105627",2531.88
"CA-2017-168858",2521.48
"CA-2015-109575",2503.82
"CA-2016-104157",2503.47
"CA-2017-160885",2479.96
"US-2017-118087",2457.14
"CA-2016-105081",2445.60
"US-2017-162558",2437.69
"US-2017-135013",2399.96
"CA-2016-107202",2396.40
"CA-2017-128363",2382.92
"CA-2016-147256",2377.56
"CA-2016-105732",2374.73
"CA-2017-138975",2361.52
"CA-2014-122931",2358.67
"CA-2014-126683",2354.98
"CA-2017-121027",2340.06
"CA-2015-169796",2339.84
"CA-2016-114727",2331.84
"CA-2014-126403",2304.37
"CA-2015-137974",2298.90
"US-2016-113677",2294.90
"CA-2017-120376",2283.43
"CA-2017-150091",2258.28
"CA-2017-157987",2255.87
"CA-2015-135685",2233.02
"CA-2017-149048",2229.18
"CA-2015-113145",2220.06
"CA-2014-110408",2216.80
"CA-2015-130659",2201.86
"US-2015-128090",2200.32
"CA-2017-142090",2165.66
"CA-2015-121783",2165.12
"CA-2014-128524",2158.69
"CA-2015-121797",2147.34
"CA-2016-143805",2145.25
"CA-2014-126361",2126.03
"CA-2014-145387",2116.51
"CA-2017-121790",2113.57
"CA-2017-117212",2110.72
"CA-2017-149559",2089.41
"CA-2015-135622",2079.11
"US-2016-108504",2075.51
"CA-2016-131737",2073.35
"CA-2016-168032",2067.80
"CA-2014-166954",2061.01
"CA-2014-169726",2060.74
"CA-2017-123372",2059.85
"CA-2016-133935",2056.01
"CA-2014-131450",2049.82
"CA-2017-141733",2049.53
"CA-2015-113404",2048.85
"US-2014-135972",2046.35
"CA-2017-111738",2031.39
"CA-2016-125087",2027.19
"CA-2014-134313",2027.15
"CA-2015-125976",2026.78
"CA-2015-121188",2017.54
"US-2017-118941",2017.32
"US-2017-167318",2012.30
"CA-2017-107517",2011.90
"US-2016-131611",2007.90
"CA-2016-155530",2003.52
"CA-2014-163748",2003.12
"CA-2016-157791",1999.96
"CA-2017-123491",1993.77
"CA-2017-155880",1986.52
"CA-2016-133725",1979.93
"CA-2014-120768",1979.89
"CA-2015-110863",1971.46
"CA-2015-111514",1966.56
"CA-2017-167752",1958.54
"CA-2015-114069",1952.81
"CA-2016-142335",1949.31
"CA-2015-157084",1941.81
"CA-2016-165330",1937.93
"CA-2017-136308",1919.98
"CA-2015-102582",1918.79
"US-2017-112347",1915.62
"CA-2015-160171",1910.70
"CA-2014-154893",1897.92
"CA-2017-159100",1893.79
"CA-2014-126760",1891.31
"US-2017-122714",1889.99
"CA-2014-151330",1885.27
"CA-2015-140984",1884.14
"CA-2017-147760",1883.72
"CA-2017-144491",1875.13
"CA-2015-126725",1873.61
"US-2017-105998",1872.93
"US-2014-147627",1859.40
"CA-2016-106950",1854.25
"CA-2017-151799",1843.40
"CA-2014-154599",1840.05
"US-2017-167920",1827.51
"US-2017-142188",1820.21
"CA-2015-146262",1816.69
"CA-2017-117324",1816.36
"US-2017-158526",1814.68
"CA-2014-124688",1812.01
"CA-2017-119452",1805.88
"CA-2016-126732",1804.25
"CA-2015-134719",1801.63
"US-2017-117723",1801.63
"CA-2016-105459",1800.17
"CA-2014-116666",1799.97
"CA-2016-101546",1793.98
"CA-2014-152268",1793.98
"CA-2017-141789",1793.98
"US-2015-127040",1782.17
"CA-2017-112515",1782.10
"CA-2014-107818",1771.52
"CA-2017-152975",1770.19
"CA-2014-103310",1769.78
"CA-2016-153598",1761.85
"CA-2015-141243",1757.86
"CA-2017-105669",1749.90
"CA-2016-169838",1745.91
"CA-2015-147788",1745.71
"CA-2015-126557",1745.40
"CA-2014-108147",1745.36
"US-2017-100930",1735.85
"CA-2014-125829",1729.42
"CA-2017-131254",1729.29
"US-2015-126214",1717.97
"CA-2015-115567",1716.16
"CA-2017-113418",1704.89
"CA-2016-152555",1702.39
"CA-2017-145884",1702.03
"US-2016-102239",1691.61
"CA-2017-105914",1687.26
"US-2015-163279",1685.46
"CA-2014-131387",1679.96
"CA-2014-157147",1679.75
"US-2016-121013",1678.00
"US-2016-165505",1672.31
"US-2016-100461",1671.93
"CA-2016-162390",1671.07
"CA-2017-148446",1669.60
"CA-2015-102281",1668.99
"CA-2017-158729",1665.62
"CA-2015-141565",1664.13
"CA-2014-105984",1661.03
"CA-2016-125220",1649.75
"CA-2017-143063",1645.87
"CA-2014-140858",1639.72
"CA-2014-165309",1639.50
"CA-2015-167010",1636.36
"CA-2015-155600",1635.02
"US-2017-120390",1633.19
"CA-2016-127138",1632.36
"CA-2017-118724",1629.71
"CA-2016-121370",1628.62
"CA-2016-130946",1616.70
"CA-2014-150798",1614.13
"CA-2016-102162",1611.01
"CA-2014-124856",1609.32
"CA-2016-105207",1604.73
"CA-2016-152247",1603.14
"CA-2016-128594",1603.14
"CA-2016-150350",1599.86
"CA-2016-109869",1588.33
"CA-2017-163006",1584.86
"CA-2017-103877",1577.94
"CA-2017-146983",1577.94
"CA-2014-150245",1573.49
"CA-2015-101889",1568.86
"CA-2016-165848",1562.69
"CA-2016-146934",1562.09
"CA-2017-111556",1559.67
"CA-2015-156482",1558.42
"CA-2016-107783",1556.69
"CA-2015-142944",1555.24
"CA-2014-151995",1549.77
"CA-2015-138009",1542.47
"CA-2017-103212",1541.51
"CA-2014-153850",1537.55
"CA-2015-166947",1522.64
"US-2014-119137",1520.38
"US-2017-109253",1520.15
"CA-2014-144666",1517.58
"CA-2016-142594",1517.05
"US-2017-109316",1515.19
"CA-2014-125731",1508.77
"CA-2014-127614",1508.13
"CA-2016-114867",1507.94
"CA-2016-135776",1506.02
"CA-2016-139997",1499.95
"CA-2017-116680",1491.61
"CA-2016-114972",1489.72
"CA-2014-103492",1488.77
"US-2017-134481",1488.42
"CA-2015-146675",1483.53
"CA-2014-114251",1476.84
"CA-2017-162691",1476.27
"CA-2016-131289",1475.58
"US-2017-155425",1475.05
"CA-2016-158694",1467.13
"CA-2016-169103",1466.32
"CA-2016-163328",1465.02
"US-2014-138247",1461.18
"CA-2017-162015",1455.55
"CA-2016-123540",1454.90
"US-2015-122784",1454.83
"CA-2015-100146",1452.79
"CA-2017-109085",1448.85
"CA-2015-162047",1448.82
"CA-2017-146535",1446.84
"CA-2015-132486",1446.78
"CA-2015-159534",1445.68
"CA-2017-127397",1443.72
"CA-2014-132612",1441.30
"CA-2016-147417",1439.98
"US-2017-147886",1435.96
"CA-2017-116988",1433.19
"CA-2016-129868",1431.07
"CA-2016-144764",1427.31
"US-2016-143448",1424.90
"CA-2015-153381",1423.34
"CA-2016-158099",1422.25
"CA-2014-108609",1421.66
"CA-2017-143686",1418.21
"CA-2014-114321",1417.35
"US-2016-160528",1416.31
"CA-2016-112697",1410.07
"US-2017-133200",1407.20
"CA-2016-146913",1403.92
"CA-2014-124247",1403.92
"CA-2016-155845",1399.94
"CA-2016-159891",1396.35
"CA-2014-165764",1395.67
"CA-2014-119151",1393.87
"CA-2016-113243",1388.78
"CA-2015-104626",1388.46
"CA-2016-111213",1384.92
"CA-2017-102379",1378.95
"CA-2016-147137",1376.45
"CA-2017-153045",1370.54
"CA-2014-163552",1368.62
"CA-2014-111192",1367.84
"CA-2016-110492",1366.04
"CA-2014-110786",1365.63
"CA-2017-122364",1365.48
"CA-2016-105256",1363.96
"CA-2015-119879",1363.67
"CA-2017-104640",1362.06
"CA-2015-105571",1361.64
"CA-2017-157966",1358.87
"US-2017-111423",1358.48
"CA-2016-138968",1356.57
"CA-2014-166863",1353.53
"CA-2015-154284",1349.63
"CA-2017-107167",1347.52
"US-2015-114741",1347.27
"CA-2015-140410",1345.42
"US-2017-169551",1344.84
"CA-2016-149279",1344.42
"CA-2014-143903",1340.97
"US-2015-129007",1336.35
"CA-2017-105851",1332.50
"CA-2017-142034",1331.82
"CA-2016-101791",1328.13
"CA-2014-128146",1326.69
"CA-2017-108574",1324.57
"CA-2017-147207",1322.74
"CA-2017-102750",1322.35
"CA-2016-147375",1321.47
"US-2016-138408",1319.96
"CA-2016-139269",1311.97
"CA-2017-111689",1311.37
"CA-2016-133550",1311.03
"CA-2014-166471",1310.34
"CA-2014-136399",1308.20
"CA-2015-157322",1305.81
"CA-2016-162355",1302.83
"US-2014-115196",1299.99
"US-2017-142573",1298.91
"CA-2017-100650",1295.78
"CA-2017-142342",1295.03
"US-2016-150140",1294.75
"CA-2016-128223",1293.49
"CA-2015-113152",1293.47
"CA-2015-148635",1288.85
"CA-2016-117590",1288.46
"CA-2016-134887",1287.45
"CA-2014-162775",1287.26
"CA-2016-109722",1284.80
"CA-2015-133585",1283.33
"CA-2016-152730",1282.61
"CA-2014-106376",1280.99
"CA-2017-126067",1278.16
"CA-2014-127446",1273.63
"CA-2015-112452",1273.61
"US-2014-144078",1272.70
"US-2014-123183",1271.42
"CA-2017-167395",1271.17
"CA-2015-120621",1270.38
"US-2016-141544",1269.86
"CA-2016-145905",1264.14
"CA-2016-142545",1263.67
"CA-2014-106726",1261.33
"CA-2016-162187",1252.64
"CA-2014-101931",1252.60
"CA-2017-128265",1247.64
"CA-2017-122693",1245.86
"US-2015-139675",1242.90
"CA-2017-110443",1242.63
"CA-2017-150266",1240.42
"CA-2017-127026",1239.83
"CA-2015-160472",1238.33
"US-2015-138121",1233.61
"CA-2017-105214",1231.50
"CA-2015-111780",1230.50
"CA-2015-117415",1228.96
"CA-2014-164315",1220.67
"CA-2016-163573",1219.96
"CA-2017-123085",1219.79
"CA-2015-153423",1217.57
"US-2014-117968",1217.38
"US-2014-118997",1215.92
"US-2016-155768",1215.72
"CA-2015-150714",1215.26
"CA-2014-141796",1214.85
"CA-2014-139192",1213.49
"CA-2014-152100",1212.96
"CA-2016-113607",1203.89
"CA-2015-166219",1203.44
"CA-2016-110499",1199.98
"CA-2014-111871",1198.33
"US-2017-166688",1196.32
"CA-2014-121006",1194.87
"US-2014-137869",1190.84
"CA-2014-134572",1190.53
"CA-2016-152289",1184.70
"CA-2016-110975",1179.83
"CA-2016-155516",1179.27
"CA-2014-116932",1173.62
"CA-2015-103835",1173.03
"CA-2017-152933",1171.79
"CA-2015-130974",1170.92
"CA-2015-146486",1170.72
"CA-2017-130841",1170.56
"CA-2017-125451",1169.98
"CA-2017-121839",1169.69
"US-2016-169040",1169.46
"CA-2014-163419",1167.29
"US-2016-167339",1167.06
"CA-2015-153549",1166.92
"CA-2014-146283",1166.71
"US-2016-150861",1165.33
"CA-2016-123946",1159.06
"US-2017-163790",1158.88
"CA-2014-159520",1158.44
"CA-2017-158561",1158.12
"CA-2016-114601",1157.98
"CA-2016-134803",1157.68
"US-2017-162670",1152.87
"CA-2016-116911",1148.81
"CA-2014-104563",1143.82
"CA-2015-165624",1142.43
"CA-2014-130428",1142.17
"US-2014-125521",1139.92
"US-2016-111290",1137.40
"CA-2015-136469",1136.90
"CA-2014-117464",1136.09
"CA-2015-132626",1133.82
"CA-2015-117800",1132.84
"CA-2017-130036",1132.56
"CA-2016-109344",1127.98
"CA-2015-110016",1126.83
"CA-2017-160633",1126.29
"CA-2014-168984",1122.97
"CA-2016-136406",1121.57
"CA-2016-157280",1120.73
"CA-2016-142958",1120.37
"CA-2016-148852",1119.15
"CA-2016-136812",1117.92
"CA-2015-165162",1117.92
"US-2015-161991",1116.48
"CA-2017-100097",1115.25
"CA-2016-132304",1115.17
"CA-2015-123141",1114.19
"CA-2017-140872",1111.69
"CA-2016-153178",1111.42
"CA-2014-138128",1110.65
"CA-2016-163776",1110.50
"CA-2016-106530",1110.35
"CA-2015-158491",1109.95
"CA-2014-124478",1109.73
"CA-2014-163468",1109.37
"CA-2017-122035",1107.68
"CA-2014-103100",1107.66
"CA-2016-162236",1106.93
"CA-2014-154963",1106.77
"CA-2015-126697",1102.47
"CA-2017-138149",1100.62
"CA-2015-154956",1099.96
"CA-2017-150420",1099.50
"US-2015-116981",1098.53
"CA-2017-102407",1096.49
"CA-2016-112123",1094.25
"CA-2016-158001",1091.44
"CA-2014-166086",1091.35
"CA-2017-150910",1090.35
"CA-2016-160108",1085.87
"CA-2016-155978",1085.69
"CA-2017-164112",1085.42
"CA-2016-144218",1085.42
"CA-2015-127509",1085.16
"CA-2017-162789",1083.07
"CA-2015-132465",1082.15
"CA-2017-121888",1081.69
"US-2017-165456",1079.32
"CA-2017-161774",1078.43
"CA-2017-151981",1077.47
"CA-2014-140662",1075.37
"CA-2017-117702",1071.74
"US-2017-117534",1069.13
"US-2017-128951",1065.84
"US-2017-106145",1065.22
"CA-2016-115917",1064.62
"US-2015-168704",1061.33
"US-2016-125402",1059.10
"CA-2016-124352",1058.27
"CA-2015-112130",1058.19
"CA-2017-108560",1058.11
"CA-2017-152310",1057.16
"CA-2016-102092",1056.86
"CA-2015-109638",1055.14
"CA-2016-146633",1054.93
"CA-2017-131828",1051.92
"CA-2014-112158",1050.60
"CA-2014-143371",1049.97
"US-2017-164056",1048.35
"CA-2015-133242",1046.47
"CA-2016-137743",1045.87
"CA-2016-105816",1045.21
"US-2017-102890",1044.63
"CA-2015-106320",1044.63
"CA-2014-102673",1044.44
"CA-2015-124800",1044.07
"CA-2016-129280",1043.05
"CA-2014-131002",1040.19
"CA-2015-130890",1038.84
"CA-2017-124205",1038.26
"US-2014-157385",1037.19
"CA-2015-145758",1035.80
"CA-2015-143105",1033.23
"CA-2017-100622",1030.74
"CA-2016-132997",1030.49
"CA-2016-101672",1027.68
"CA-2017-148404",1027.20
"CA-2016-158778",1024.64
"CA-2015-135174",1022.97
"CA-2014-129091",1022.61
"CA-2016-146206",1020.89
"CA-2017-145233",1020.26
"US-2016-103674",1018.30
"US-2015-157154",1018.10
"CA-2017-115882",1017.13
"CA-2016-107328",1016.18
"CA-2014-153913",1015.81
"US-2016-144057",1013.79
"CA-2015-153388",1011.70
"CA-2015-142601",1009.13
"CA-2014-103660",1007.94
"CA-2014-106439",1007.94
"CA-2017-147956",1003.62
"CA-2016-168753",1002.70
"US-2015-134026",1001.76
"CA-2016-140249",1001.58
"CA-2015-150875",1001.20
"CA-2014-160094",1000.95
"CA-2015-121650",1000.43
"CA-2017-138380",1000.02
"CA-2016-166429",999.98
"CA-2015-156104",999.98
"CA-2014-121629",998.85
"CA-2016-140382",997.93
"CA-2017-164756",997.83
"CA-2017-121489",994.46
"CA-2016-152156",993.90
"CA-2014-145254",992.83
"CA-2015-130113",991.26
"CA-2017-121048",988.21
"US-2017-141558",987.18
"CA-2017-166436",983.17
"US-2015-108966",979.95
"US-2017-166324",979.62
"CA-2015-137946",979.10
"CA-2017-105410",976.82
"CA-2016-112669",976.52
"CA-2015-109512",976.35
"CA-2015-104941",976.29
"US-2017-113992",974.99
"CA-2015-154326",974.90
"CA-2017-134915",972.08
"CA-2015-166583",971.88
"CA-2014-146969",968.30
"CA-2016-145730",962.41
"US-2016-164630",959.97
"CA-2016-114104",959.55
"US-2017-116652",959.20
"CA-2017-112753",956.80
"US-2016-110170",956.66
"CA-2017-151750",954.90
"CA-2017-108441",954.55
"CA-2017-104731",951.98
"CA-2017-147277",949.77
"CA-2014-148383",946.76
"CA-2015-110548",946.34
"US-2014-155502",944.61
"US-2016-115441",941.18
"CA-2015-162201",937.61
"US-2017-130953",935.74
"CA-2014-120838",935.15
"CA-2016-156748",933.95
"CA-2017-132290",933.41
"CA-2017-139199",927.44
"CA-2014-124429",926.44
"CA-2015-136805",925.83
"CA-2017-128944",921.23
"CA-2016-132829",921.03
"CA-2015-142755",919.49
"CA-2016-100993",918.97
"CA-2017-143245",916.59
"CA-2017-119578",916.14
"CA-2017-104801",914.12
"CA-2017-107132",913.17
"CA-2015-120362",912.75
"CA-2017-142622",911.82
"CA-2016-156685",911.26
"CA-2015-133452",910.79
"CA-2017-154410",909.12
"CA-2017-128853",908.82
"CA-2014-140396",907.56
"US-2014-141215",906.43
"CA-2017-116519",904.90
"US-2014-165659",904.13
"CA-2017-161410",904.12
"CA-2016-168893",903.77
"CA-2016-118745",902.71
"CA-2017-155460",901.20
"CA-2016-150945",900.08
"CA-2015-103933",899.91
"CA-2016-145177",899.60
"CA-2017-105333",899.11
"CA-2015-108665",896.38
"CA-2015-149342",896.31
"CA-2017-130302",895.94
"CA-2017-147291",895.92
"US-2016-123750",895.06
"CA-2015-107678",893.09
"CA-2017-115154",892.98
"CA-2015-161452",892.22
"CA-2016-123358",891.96
"CA-2014-109897",891.78
"CA-2017-111332",891.53
"CA-2017-127782",891.51
"CA-2014-137274",890.84
"US-2017-100048",889.29
"CA-2016-161907",887.96
"CA-2014-168130",887.10
"US-2014-106299",886.28
"CA-2016-127761",885.57
"CA-2016-133795",885.03
"CA-2016-114860",884.68
"CA-2015-135538",883.84
"CA-2016-160535",883.32
"CA-2017-135937",882.99
"CA-2017-121853",878.82
"CA-2016-164399",878.33
"CA-2014-125556",876.73
"CA-2017-113705",874.80
"US-2016-105578",874.31
"CA-2017-168389",873.81
"CA-2017-147032",872.50
"CA-2016-113292",871.80
"US-2017-124821",871.40
"CA-2017-121503",871.03
"CA-2016-148684",870.04
"CA-2017-166695",868.45
"CA-2016-100944",868.14
"CA-2015-145814",867.74
"CA-2014-124702",867.74
"CA-2016-118514",866.40
"CA-2017-155705",866.40
"CA-2014-102274",865.50
"CA-2017-117401",865.00
"CA-2016-127698",863.93
"CA-2017-117079",863.88
"CA-2016-144148",863.13
"CA-2014-137092",862.20
"CA-2015-143364",860.92
"CA-2015-154746",860.07
"CA-2016-108056",859.20
"CA-2016-137043",859.14
"CA-2014-111451",855.27
"CA-2014-142839",853.09
"CA-2017-128734",850.92
"CA-2017-140326",849.84
"CA-2017-121083",847.46
"CA-2015-140025",847.20
"CA-2015-138898",845.73
"US-2016-162852",845.49
"CA-2017-101042",843.84
"CA-2016-149797",841.57
"CA-2014-121573",840.72
"CA-2016-157336",840.00
"CA-2016-153682",839.99
"CA-2016-152471",839.94
"CA-2017-155376",839.43
"CA-2017-161046",839.25
"US-2017-105389",837.79
"CA-2016-127649",837.60
"US-2015-130512",837.45
"US-2016-142685",835.17
"CA-2017-132178",832.96
"US-2015-126753",832.44
"CA-2014-162992",832.14
"CA-2016-168046",831.50
"CA-2017-167941",831.36
"CA-2017-157931",830.24
"CA-2017-160325",829.83
"CA-2014-136336",828.84
"CA-2015-110765",824.97
"CA-2017-140963",823.73
"US-2016-168620",823.61
"US-2015-164308",821.94
"CA-2017-122504",821.51
"CA-2016-169943",821.22
"CA-2017-114055",819.28
"CA-2017-144498",817.83
"CA-2014-111962",817.80
"US-2016-146066",815.29
"CA-2016-131835",815.12
"US-2017-116897",814.53
"CA-2016-164770",812.68
"CA-2017-137022",811.28
"CA-2015-115798",810.20
"US-2014-140914",808.92
"CA-2017-110905",808.92
"CA-2015-157770",808.67
"US-2017-165358",807.89
"CA-2014-158372",807.69
"CA-2015-146255",807.54
"CA-2015-102876",806.40
"CA-2017-120168",806.05
"CA-2017-118199",805.99
"CA-2014-101602",803.96
"CA-2014-127558",803.04
"CA-2016-145919",802.02
"CA-2015-165050",801.99
"US-2016-157490",801.55
"CA-2014-120670",799.92
"CA-2016-157259",799.56
"CA-2017-153871",798.93
"CA-2015-124975",796.43
"US-2015-159982",796.32
"CA-2017-102925",796.03
"CA-2014-141649",795.41
"CA-2015-161718",794.57
"CA-2015-113628",792.51
"CA-2014-100916",788.86
"US-2014-119081",787.85
"CA-2015-110457",787.53
"CA-2016-136770",787.05
"CA-2016-153318",783.96
"CA-2014-114790",782.63
"CA-2017-100524",782.40
"CA-2017-106859",780.09
"CA-2014-103373",779.80
"CA-2017-130386",779.17
"US-2015-138093",776.44
"CA-2017-126914",776.08
"US-2014-115189",775.72
"US-2015-123218",775.01
"US-2015-132836",774.47
"CA-2014-166051",773.70
"US-2016-124163",773.59
"CA-2016-161025",772.68
"CA-2017-121419",771.80
"CA-2014-149104",770.61
"CA-2017-124436",770.21
"CA-2015-168746",769.34
"CA-2015-131856",769.02
"CA-2014-163447",767.21
"US-2017-124968",765.63
"CA-2014-103429",765.49
"CA-2015-102260",763.50
"CA-2017-152093",762.59
"US-2017-148551",760.98
"CA-2017-135279",760.80
"CA-2014-138940",758.35
"CA-2015-144806",757.70
"CA-2016-120369",756.80
"US-2016-157945",756.49
"US-2015-138303",755.10
"CA-2016-156300",754.45
"CA-2016-102981",754.21
"CA-2017-131807",753.11
"CA-2014-128846",752.92
"US-2016-100839",752.41
"CA-2017-137631",751.98
"CA-2014-129189",751.88
"CA-2015-109386",750.93
"CA-2017-121741",750.68
"CA-2017-112529",749.90
"CA-2016-107146",749.49
"US-2015-154389",748.75
"CA-2017-108539",745.28
"CA-2016-151561",744.15
"CA-2016-133816",743.99
"CA-2015-127173",743.43
"US-2014-167262",742.34
"CA-2015-120880",740.73
"CA-2017-129462",740.59
"CA-2017-113481",740.21
"CA-2016-127243",740.08
"CA-2017-103380",739.74
"CA-2015-168207",738.90
"CA-2017-137449",738.70
"CA-2016-121223",737.40
"US-2014-102715",737.20
"CA-2015-124107",736.47
"CA-2016-140130",736.26
"CA-2017-150497",735.98
"US-2014-137155",733.56
"CA-2015-130785",733.28
"US-2017-159205",732.93
"CA-2014-134551",732.31
"CA-2016-139395",732.17
"CA-2016-164574",732.16
"CA-2014-119144",730.85
"CA-2015-104346",730.05
"US-2014-159926",730.00
"CA-2017-113558",729.65
"CA-2017-164378",729.40
"CA-2017-165204",728.96
"CA-2016-108882",727.88
"CA-2017-161053",726.91
"CA-2017-113530",726.83
"CA-2014-128055",726.55
"CA-2017-163979",725.84
"CA-2014-159310",725.33
"CA-2016-112109",725.08
"US-2017-165344",725.08
"CA-2017-166184",724.85
"CA-2016-116736",724.55
"CA-2017-124765",723.92
"CA-2015-104948",723.16
"CA-2015-106257",721.49
"CA-2014-127131",721.48
"CA-2017-100951",720.76
"CA-2014-140473",719.98
"US-2014-140116",719.58
"CA-2017-134565",719.41
"CA-2017-154074",719.30
"US-2017-117247",719.10
"CA-2016-100790",718.95
"CA-2015-142202",717.12
"CA-2016-112585",715.64
"CA-2015-162887",715.20
"CA-2017-113670",715.19
"CA-2014-162089",714.96
"US-2016-152051",714.50
"CA-2015-158659",714.30
"CA-2016-127369",714.30
"US-2017-101539",712.97
"CA-2017-124296",712.85
"US-2015-156496",711.78
"CA-2014-152443",711.68
"CA-2017-141929",711.39
"CA-2017-149888",710.32
"CA-2014-169775",709.05
"CA-2014-167927",708.62
"CA-2014-140732",707.63
"CA-2016-168543",706.86
"CA-2014-129924",706.06
"CA-2014-169061",705.56
"CA-2016-118626",705.54
"CA-2015-137925",705.07
"CA-2017-163265",705.00
"US-2016-156097",703.68
"CA-2017-159149",702.85
"US-2015-147242",702.74
"CA-2017-169327",702.52
"CA-2017-143756",701.96
"US-2017-109610",701.96
"CA-2014-155887",700.06
"CA-2017-100902",699.40
"CA-2014-100090",699.19
"CA-2016-144309",698.50
"CA-2015-105690",697.82
"CA-2017-143378",697.62
"CA-2017-161067",697.52
"CA-2014-130624",697.32
"CA-2016-127670",697.16
"CA-2014-100678",697.08
"CA-2017-107321",696.08
"CA-2017-118885",695.95
"CA-2016-147368",695.70
"CA-2017-143574",694.67
"CA-2014-156594",694.53
"CA-2014-156160",693.99
"CA-2017-121300",693.14
"CA-2016-154662",692.94
"US-2015-136987",692.73
"CA-2016-120355",692.50
"CA-2015-166975",692.47
"CA-2015-137064",692.21
"CA-2017-144526",691.48
"CA-2017-159667",691.15
"CA-2015-163587",688.46
"CA-2014-169803",687.45
"CA-2015-103954",687.40
"CA-2016-158260",686.40
"CA-2016-126158",686.25
"US-2014-133130",685.90
"CA-2017-147361",685.26
